Brand,Display,Battery,Camera_Score,RAM,ROM,Price
Infinix,6.6,5000.0,58.0,6.0,128.0,13515.91
KARBONN,2.4,2500.0,3.0,64.0,32.0,1406.5625
realme,6.5,5000.0,58.0,4.0,64.0,9972.666666666668
vivo,6.44,5000.0,70.0,8.0,128.0,17713.874
REDMI,6.67,5000.0,71.0,4.0,128.0,17294.0
realme,6.6,5000.0,63.0,4.0,128.0,19075.488999999998
DIZO,2.8,1900.0,3.0,32.0,32.0,1615.9045
OPPO,6.56,5000.0,13.0,3.0,64.0,9482.356
Cellecor,1.77,2000.0,8.0,32.0,32.0,1294.267
Infinix,6.6,5200.0,21.0,4.0,64.0,8372.192682539686
Tecno,6.6,5000.0,60.0,4.0,64.0,8852.962023809525
POCO,6.67,5000.0,90.0,12.0,256.0,32426.0
realme,6.4,5000.0,68.0,4.0,64.0,12804.0
POCO,6.67,5000.0,71.0,8.0,256.0,18669.0
REDMI,6.58,5000.0,62.0,6.0,128.0,12438.91
realme,6.5,5000.0,13.0,3.0,32.0,7008.725333333335
Tecno,6.56,5000.0,13.0,4.0,64.0,7912.11
Cellecor,1.8,1000.0,3.0,32.0,32.0,898.5503333333332
MOTOROLA,6.47,5000.0,76.0,4.0,64.0,12951.5
Tecno,6.6,5000.0,21.0,3.0,64.0,8841.430333333334
realme,6.6,5000.0,70.0,6.0,128.0,13658.946000000002
Jmax,1.8,1100.0,3.0,32.0,32.0,830.0153333333333
ANGAGE,1.77,1100.0,3.0,64.0,64.0,838.9803333333333
Infinix,6.7,5000.0,68.0,4.0,64.0,13531.74975
REDMI,6.67,5020.0,48.0,6.0,128.0,15346.843333333332
Tecno,6.56,5000.0,18.0,4.0,64.0,7775.816666666667
SAMSUNG,6.4,5000.0,99.0,8.0,256.0,37578.91
POCO,6.67,5000.0,90.0,8.0,256.0,27809.0
Kechaoda,1.4,800.0,3.0,32.0,32.0,1125.7816666666668
MOTOROLA,6.55,5000.0,76.0,6.0,128.0,15268.91
MOTOROLA,6.55,4400.0,95.0,8.0,256.0,31676.55
SAMSUNG,6.6,5000.0,58.0,6.0,128.0,17146.82
Google,6.14,4410.0,34.0,6.0,128.0,34961.07
Infinix,6.6,5000.0,58.0,6.0,64.0,10649.0
vivo,6.51,5000.0,20.0,4.0,128.0,12352.982833333332
REDMI,6.67,5000.0,76.0,6.0,128.0,23794.0
REDMI,6.67,4980.0,226.0,8.0,256.0,29849.0
SAMSUNG,6.6,5000.0,68.0,4.0,128.0,16118.91
Cellecor,1.8,1000.0,3.0,32.0,32.0,898.5503333333332
vivo,6.58,5000.0,68.0,8.0,128.0,19710.575428571425
Infinix,6.6,5000.0,13.0,2.0,64.0,6478.478210678212
REDMI,6.53,5000.0,18.0,4.0,64.0,7412.1425
MOTOROLA,6.55,4400.0,97.0,8.0,128.0,32818.25
realme,6.5,5000.0,13.0,2.0,32.0,7098.601709706959
I,1.8,1000.0,3.0,32.0,32.0,767.7583333333333
realme,6.5,5000.0,13.0,2.0,32.0,7098.601709706959
MOTOROLA,6.6,5000.0,76.0,8.0,128.0,20055.118333333332
OnePlus,6.7,4500.0,50.0,8.0,128.0,27445.7
SAMSUNG,6.6,6000.0,65.0,6.0,128.0,14579.191666666668
realme,6.5,6000.0,62.0,4.0,64.0,10647.73
Infinix,6.6,5000.0,58.0,6.0,64.0,10649.0
MOTOROLA,6.47,5000.0,76.0,4.0,64.0,12951.5
GREENBERRI,1.44,800.0,2.0,32.0,32.0,1051.537142857143
Tecno,6.6,5000.0,60.0,4.0,64.0,8852.962023809525
realme,6.5,5000.0,58.0,4.0,64.0,9972.666666666668
