Brand,Display,Battery,Camera_Score,RAM,ROM,Price
Infinix,6.6,5000.0,58.0,6.0,128.0,13499.0
KARBONN,2.4,2500.0,3.0,64.0,32.0,1420.0
realme,6.5,5000.0,58.0,4.0,64.0,9999.0
vivo,6.44,5000.0,70.0,8.0,128.0,17999.0
REDMI,6.67,5000.0,71.0,4.0,128.0,16999.0
realme,6.6,5000.0,63.0,4.0,128.0,10699.0
DIZO,2.8,1900.0,3.0,32.0,32.0,1849.0
OPPO,6.56,5000.0,13.0,3.0,64.0,9499.0
Cellecor,1.77,2000.0,8.0,32.0,32.0,1299.0
Infinix,6.6,5200.0,21.0,4.0,64.0,9999.0
Tecno,6.6,5000.0,60.0,4.0,64.0,8449.0
POCO,6.67,5000.0,90.0,12.0,256.0,32999.0
realme,6.4,5000.0,68.0,4.0,64.0,12499.0
POCO,6.67,5000.0,71.0,8.0,256.0,17999.0
REDMI,6.58,5000.0,62.0,6.0,128.0,11999.0
realme,6.5,5000.0,13.0,3.0,32.0,6499.0
Tecno,6.56,5000.0,13.0,4.0,64.0,8999.0
Cellecor,1.8,1000.0,3.0,32.0,32.0,1159.0
MOTOROLA,6.47,5000.0,76.0,4.0,64.0,13999.0
Tecno,6.6,5000.0,21.0,3.0,64.0,8990.0
realme,6.6,5000.0,70.0,6.0,128.0,12999.0
Jmax,1.8,1100.0,3.0,32.0,32.0,699.0
ANGAGE,1.77,1100.0,3.0,64.0,64.0,699.0
Infinix,6.7,5000.0,68.0,4.0,64.0,10999.0
REDMI,6.67,5020.0,48.0,6.0,128.0,14385.0
Tecno,6.56,5000.0,18.0,4.0,64.0,8288.0
SAMSUNG,6.4,5000.0,99.0,8.0,256.0,40999.0
POCO,6.67,5000.0,90.0,8.0,256.0,29999.0
Kechaoda,1.4,800.0,3.0,32.0,32.0,1125.0
MOTOROLA,6.55,5000.0,76.0,6.0,128.0,15499.0
MOTOROLA,6.55,4400.0,95.0,8.0,256.0,29999.0
SAMSUNG,6.6,5000.0,58.0,6.0,128.0,17499.0
Google,6.14,4410.0,34.0,6.0,128.0,28999.0
Infinix,6.6,5000.0,58.0,6.0,64.0,9999.0
vivo,6.51,5000.0,20.0,4.0,128.0,12989.0
REDMI,6.67,5000.0,76.0,6.0,128.0,23999.0
REDMI,6.67,4980.0,226.0,8.0,256.0,29999.0
SAMSUNG,6.6,5000.0,68.0,4.0,128.0,15999.0
Cellecor,1.8,1000.0,3.0,32.0,32.0,1183.0
vivo,6.58,5000.0,68.0,8.0,128.0,19999.0
Infinix,6.6,5000.0,13.0,2.0,64.0,6999.0
REDMI,6.53,5000.0,18.0,4.0,64.0,8999.0
MOTOROLA,6.55,4400.0,97.0,8.0,128.0,34999.0
realme,6.5,5000.0,13.0,2.0,32.0,5999.0
I,1.8,1000.0,3.0,32.0,32.0,744.0
realme,6.5,5000.0,13.0,2.0,32.0,7370.0
MOTOROLA,6.6,5000.0,76.0,8.0,128.0,21499.0
OnePlus,6.7,4500.0,50.0,8.0,128.0,27877.0
SAMSUNG,6.6,6000.0,65.0,6.0,128.0,14490.0
realme,6.5,6000.0,62.0,4.0,64.0,11499.0
Infinix,6.6,5000.0,58.0,6.0,64.0,9999.0
MOTOROLA,6.47,5000.0,76.0,4.0,64.0,11248.0
GREENBERRI,1.44,800.0,2.0,32.0,32.0,1199.0
Tecno,6.6,5000.0,60.0,4.0,64.0,9290.0
realme,6.5,5000.0,58.0,4.0,64.0,9999.0
REDMI,6.67,5000.0,73.0,6.0,64.0,14999.0
REDMI,6.52,5000.0,13.0,3.0,32.0,6599.0
PHILIPS,1.77,2000.0,3.0,32.0,24.0,1378.0
Infinix,6.6,5200.0,21.0,4.0,64.0,9999.0
vivo,6.44,4500.0,124.0,8.0,128.0,27999.0
POCO,6.18,4000.0,37.0,6.0,64.0,13489.0
Kechaoda,1.44,850.0,3.0,32.0,32.0,1199.0
Nokia,1.77,1000.0,0.0,32.0,32.0,1422.0
