Brand,Display,Battery,Camera_Score,RAM,ROM,Price
Infinix,6.6,6000.0,18.0,4.0,64.0,7299.0
Infinix,6.6,6000.0,18.0,4.0,64.0,7299.0
MOTOROLA,6.55,5000.0,76.0,8.0,128.0,11999.0
POCO,6.52,5000.0,13.0,2.0,32.0,5649.0
Infinix,6.6,5000.0,55.0,8.0,128.0,8999.0
Infinix,6.6,5000.0,55.0,8.0,128.0,8999.0
Infinix,6.6,5000.0,55.0,8.0,128.0,8999.0
Infinix,6.6,5000.0,55.0,8.0,128.0,8999.0
Infinix,6.6,5000.0,55.0,4.0,64.0,7999.0
Infinix,6.6,5000.0,55.0,4.0,64.0,7999.0
REDMI,6.7,6000.0,57.0,4.0,64.0,9499.0
Infinix,6.6,5000.0,55.0,4.0,64.0,7999.0
Infinix,6.6,6000.0,18.0,4.0,64.0,7299.0
SAMSUNG,6.6,6000.0,65.0,4.0,128.0,10699.0
SAMSUNG,6.5,5000.0,20.0,4.0,64.0,7299.0
POCO,6.52,5000.0,13.0,4.0,64.0,6999.0
Infinix,6.6,5000.0,55.0,4.0,64.0,7999.0
POCO,6.52,5000.0,13.0,4.0,64.0,6999.0
POCO,6.52,5000.0,13.0,2.0,32.0,5649.0
MOTOROLA,6.5,5000.0,18.0,4.0,64.0,7299.0
vivo,6.58,5000.0,60.0,8.0,128.0,15999.0
vivo,6.58,5000.0,60.0,8.0,128.0,15999.0
vivo,6.58,5000.0,60.0,8.0,128.0,15999.0
vivo,6.58,5000.0,60.0,6.0,128.0,13999.0
vivo,6.58,5000.0,60.0,4.0,128.0,12999.0
vivo,6.58,5000.0,60.0,6.0,128.0,13999.0
vivo,6.58,5000.0,60.0,4.0,128.0,12999.0
vivo,6.58,5000.0,60.0,6.0,128.0,13999.0
Infinix,6.6,5000.0,13.0,2.0,64.0,6199.0
REDMI,6.52,5000.0,13.0,3.0,32.0,6599.0
REDMI,6.52,5000.0,13.0,3.0,32.0,6599.0
POCO,6.71,5000.0,55.0,4.0,64.0,7749.0
REDMI,6.52,5000.0,13.0,3.0,32.0,6599.0
POCO,6.71,5000.0,55.0,4.0,64.0,7749.0
POCO,6.71,5000.0,55.0,4.0,64.0,7749.0
POCO,6.71,5000.0,55.0,6.0,128.0,8999.0
SAMSUNG,6.6,6000.0,65.0,4.0,64.0,9699.0
SAMSUNG,6.6,6000.0,65.0,4.0,128.0,10699.0
MOTOROLA,6.5,5000.0,62.0,4.0,128.0,9999.0
POCO,6.58,5000.0,60.0,4.0,64.0,11999.0
MOTOROLA,6.5,5000.0,60.0,4.0,64.0,7999.0
REDMI,6.7,6000.0,57.0,6.0,128.0,10999.0
SAMSUNG,6.5,5000.0,20.0,4.0,64.0,7299.0
MOTOROLA,6.55,5000.0,76.0,8.0,128.0,11999.0
REDMI,6.7,6000.0,57.0,4.0,64.0,9499.0
SAMSUNG,6.6,6000.0,65.0,4.0,128.0,10699.0
MOTOROLA,6.5,5000.0,60.0,4.0,64.0,7999.0
MOTOROLA,6.5,5000.0,62.0,4.0,128.0,9999.0
MOTOROLA,6.5,5000.0,60.0,4.0,64.0,7999.0
POCO,6.71,5000.0,55.0,6.0,128.0,8999.0
vivo,6.38,4500.0,82.0,8.0,128.0,20999.0
vivo,6.38,4500.0,82.0,8.0,128.0,20999.0
MOTOROLA,6.55,5000.0,76.0,6.0,128.0,15499.0
POCO,6.52,5000.0,13.0,2.0,32.0,6999.0
vivo,6.38,4500.0,82.0,6.0,128.0,18999.0
vivo,6.38,4500.0,82.0,6.0,128.0,18999.0
POCO,6.58,5000.0,62.0,4.0,64.0,12499.0
MOTOROLA,6.55,5000.0,76.0,6.0,128.0,15499.0
POCO,6.58,5000.0,60.0,4.0,64.0,11999.0
SAMSUNG,6.6,6000.0,65.0,4.0,64.0,9699.0
SAMSUNG,6.6,6000.0,65.0,4.0,64.0,9699.0
POCO,6.58,5000.0,62.0,4.0,64.0,12499.0
MOTOROLA,6.5,5000.0,18.0,4.0,64.0,7299.0
realme,6.5,5000.0,58.0,4.0,128.0,10499.0
realme,6.5,5000.0,58.0,4.0,128.0,10499.0
SAMSUNG,6.6,6000.0,65.0,6.0,128.0,14490.0
MOTOROLA,6.5,5000.0,74.0,8.0,128.0,16999.0
realme,6.5,5000.0,58.0,4.0,128.0,10499.0
realme,6.5,5000.0,13.0,3.0,32.0,6499.0
realme,6.5,5000.0,13.0,3.0,32.0,6499.0
realme,6.5,5000.0,13.0,2.0,32.0,5999.0
realme,6.5,5000.0,13.0,3.0,32.0,6499.0
POCO,6.67,5000.0,71.0,6.0,128.0,15999.0
REDMI,6.52,5000.0,13.0,2.0,32.0,6299.0
POCO,6.43,5000.0,90.0,8.0,128.0,13999.0
MOTOROLA,6.56,5000.0,76.0,8.0,128.0,16499.0
POCO,6.52,5000.0,13.0,3.0,32.0,6299.0
POCO,6.58,5000.0,62.0,6.0,128.0,14499.0
REDMI,6.58,5000.0,62.0,4.0,64.0,9999.0
realme,6.72,5000.0,74.0,8.0,128.0,13999.0
realme,6.72,5000.0,74.0,8.0,128.0,13999.0
realme,6.72,5000.0,74.0,6.0,64.0,11999.0
realme,6.72,5000.0,74.0,8.0,128.0,13999.0
realme,6.72,5000.0,74.0,6.0,64.0,11999.0
realme,6.72,5000.0,74.0,6.0,64.0,11999.0
realme,6.72,5000.0,74.0,4.0,64.0,10999.0
realme,6.72,5000.0,74.0,4.0,64.0,10999.0
realme,6.72,5000.0,74.0,4.0,64.0,10999.0
MOTOROLA,6.56,5000.0,76.0,8.0,128.0,16499.0
SAMSUNG,6.6,6000.0,65.0,6.0,128.0,14490.0
SAMSUNG,6.6,6000.0,65.0,4.0,128.0,13490.0
SAMSUNG,6.6,6000.0,65.0,4.0,128.0,13490.0
REDMI,6.7,6000.0,57.0,4.0,64.0,9499.0
REDMI,6.58,5000.0,62.0,4.0,64.0,9999.0
MOTOROLA,6.5,5000.0,74.0,8.0,128.0,16999.0
POCO,6.58,5000.0,62.0,4.0,64.0,12499.0
realme,6.72,5000.0,126.0,8.0,128.0,19999.0
realme,6.72,5000.0,126.0,6.0,128.0,18999.0
Nokia,1.77,800.0,0.0,32.0,32.0,1449.0
POCO,6.58,5000.0,62.0,6.0,128.0,14499.0
POCO,6.58,5000.0,62.0,6.0,128.0,14499.0
POCO,6.6,5000.0,74.0,8.0,128.0,15999.0
realme,6.72,5000.0,126.0,8.0,128.0,19999.0
realme,6.72,5000.0,126.0,6.0,128.0,18999.0
realme,6.72,5000.0,126.0,8.0,128.0,19999.0
realme,6.72,5000.0,126.0,6.0,128.0,18999.0
POCO,6.52,5000.0,13.0,3.0,32.0,6299.0
realme,6.5,5000.0,74.0,8.0,128.0,15999.0
DIZO,2.8,1900.0,3.0,32.0,32.0,1849.0
Infinix,6.7,5000.0,128.0,8.0,128.0,15999.0
Infinix,6.7,5000.0,128.0,8.0,128.0,15999.0
POCO,6.67,5000.0,71.0,6.0,128.0,15999.0
SAMSUNG,6.6,6000.0,65.0,4.0,128.0,13490.0
SAMSUNG,6.6,5000.0,68.0,6.0,128.0,16999.0
REDMI,6.7,6000.0,57.0,6.0,128.0,10999.0
SAMSUNG,6.6,6000.0,65.0,4.0,128.0,13490.0
Nokia,1.77,1000.0,0.0,32.0,32.0,1422.0
MOTOROLA,6.55,4400.0,95.0,8.0,256.0,29999.0
Nokia,1.77,800.0,0.0,32.0,32.0,1299.0
POCO,6.58,5000.0,60.0,4.0,64.0,11999.0
POCO,6.58,5000.0,60.0,6.0,128.0,13999.0
REDMI,6.7,6000.0,57.0,4.0,64.0,9499.0
Infinix,6.6,5000.0,13.0,2.0,64.0,6199.0
Infinix,6.6,5000.0,13.0,2.0,64.0,6199.0
Infinix,6.6,5000.0,13.0,2.0,64.0,6199.0
realme,6.5,5000.0,68.0,6.0,128.0,12499.0
Infinix,6.7,5000.0,60.0,4.0,64.0,9999.0
POCO,6.67,5000.0,71.0,8.0,256.0,17999.0
realme,6.4,5000.0,68.0,4.0,64.0,12499.0
realme,6.6,5000.0,70.0,4.0,64.0,11499.0
SAMSUNG,6.6,6000.0,65.0,6.0,128.0,14490.0
REDMI,6.52,5000.0,13.0,2.0,32.0,6299.0
SAMSUNG,6.6,6000.0,65.0,6.0,128.0,14490.0
Nokia,2.4,1020.0,3.0,4.0,4.0,2615.0
realme,6.5,5000.0,68.0,6.0,128.0,12499.0
Google,6.14,4410.0,34.0,6.0,128.0,28999.0
Google,6.14,4410.0,34.0,6.0,128.0,28999.0
REDMI,6.52,5000.0,13.0,2.0,32.0,6299.0
Infinix,6.6,5000.0,58.0,4.0,64.0,11499.0
Infinix,6.7,5000.0,60.0,4.0,64.0,9999.0
realme,6.62,5000.0,76.0,8.0,128.0,23999.0
realme,6.62,5000.0,76.0,8.0,128.0,23999.0
realme,6.4,5000.0,68.0,4.0,64.0,12499.0
REDMI,6.67,5000.0,73.0,6.0,64.0,14999.0
Infinix,6.6,5000.0,58.0,4.0,64.0,11499.0
REDMI,6.67,5000.0,71.0,6.0,128.0,18999.0
REDMI,6.67,5000.0,71.0,6.0,128.0,18999.0
REDMI,6.67,5000.0,71.0,6.0,128.0,18999.0
Infinix,6.7,5000.0,60.0,4.0,64.0,9999.0
REDMI,6.67,5000.0,71.0,4.0,128.0,16999.0
REDMI,6.67,5000.0,71.0,4.0,128.0,16999.0
Infinix,6.6,5000.0,58.0,4.0,64.0,11499.0
SAMSUNG,2.0,800.0,0.0,6.0,64.0,2490.0
SAMSUNG,6.5,5000.0,20.0,4.0,64.0,7961.0
MOTOROLA,6.55,4400.0,95.0,8.0,256.0,29999.0
Nokia,1.77,800.0,0.0,32.0,32.0,1299.0
Nokia,2.4,1020.0,3.0,4.0,4.0,2499.0
REDMI,6.58,5000.0,62.0,6.0,128.0,11999.0
REDMI,6.58,5000.0,62.0,6.0,128.0,11999.0
REDMI,6.6,5080.0,90.0,8.0,256.0,23999.0
MOTOROLA,6.5,5000.0,60.0,4.0,64.0,8999.0
REDMI,6.53,5000.0,20.0,6.0,128.0,9499.0
REDMI,6.67,5000.0,73.0,6.0,64.0,14999.0
